word,type,definition
"-ABLE ",""," An adjective suffix now usually in a passive sense; able to be; fit to be; expressing capacity or worthiness in a passive sense; as, movable, able to be moved; amendable, able to be amended; blamable, fit to be blamed; salable."
"ABLE-BODIED ","a."," Having a sound, strong body; physically competent; robust."
"ABLEGATE ","v. t."," To send abroad."
"ABLEGATE ","n."," A representative of the pope charged with important commissions in foreign countries, one of his duties being to bring to a newly named cardinal his insignia of office."
"ABLEGATION ","n."," The act of sending abroad."
"ABLE-MINDED ","a."," Having much intellectual power."
"ABLENESS ","n."," Ability of body or mind; force; vigor."
"ABLEPSY ","n."," Blindness."
"ABLER ","a."," comp. of Able."
"ABLER ","a."," superl. of Able."
"ABLET ",""," Alt. of Ablen"
"ABLEN ",""," A small fresh-water fish (Leuciscus alburnus); the bleak."
"ABLIGATE ","v. t."," To tie up so as to hinder from."
"ABLIGURITION ","n."," Prodigal expense for food."
"ABLINS ","adv."," Perhaps."
"ABLOOM ","adv."," In or into bloom; in a blooming state."
"ABLUDE ","v. t."," To be unlike; to differ."
"ABLUENT ","a."," Washing away; carrying off impurities; detergent."
"ABLUENT ","n."," A detergent."
"ABLUSH ","adv. & a."," Blushing; ruddy."
"ABLUTION ","n."," The act of washing or cleansing; specifically, the washing of the body, or some part of it, as a religious rite."
"ABLUTION ","n."," The water used in cleansing."
"ABLUTION ","n."," A small quantity of wine and water, which is used to wash the priest's thumb and index finger after the communion, and which then, as perhaps containing portions of the consecrated elements, is drunk by the priest."
"ABLUTIONARY ","a."," Pertaining to ablution."
"ABLUVION ","n."," That which is washed off."
"ABLY ","adv."," In an able manner; with great ability; as, ably done, planned, said."
"-ABLY ",""," A suffix composed of -able and the adverbial suffix -ly; as, favorably."
"ABNEGATED ","imp. & p. p."," of Abnegate"
"ABNEGATING ","p. pr. & vb. n."," of Abnegate"
"ABNEGATE ","v. t."," To deny and reject; to abjure."
"ABNEGATION ","n."," a denial; a renunciation."
"ABNEGATIVE ","a."," Denying; renouncing; negative."
"ABNEGATOR ","n."," One who abnegates, denies, or rejects anything."
"ABNET ","n."," The girdle of a Jewish priest or officer."
"ABNODATE ","v. t."," To clear (tress) from knots."
"ABNODATION ","n."," The act of cutting away the knots of trees."
"ABNORMAL ","a."," Not conformed to rule or system; deviating from the type; anomalous; irregular."
"ABNORMALITIES ","pl. "," of Abnormality"
"ABNORMALITY ","n."," The state or quality of being abnormal; variation; irregularity."
"ABNORMALITY ","n."," Something abnormal."
"ABNORMALLY ","adv."," In an abnormal manner; irregularly."
"ABNORMITIES ","pl. "," of Abnormity"
"ABNORMITY ","n."," Departure from the ordinary type; irregularity; monstrosity."
"ABNORMOUS ","a."," Abnormal; irregular."
"ABOARD ","adv."," On board; into or within a ship or boat; hence, into or within a railway car."
"ABOARD ","adv."," Alongside; as, close aboard."
"ABOARD ","prep."," On board of; as, to go aboard a ship."
"ABOARD ","prep."," Across; athwart."
"ABODANCE ","n."," An omen; a portending."
"ABODE ",""," pret. of Abide."
"ABODE ","n."," Act of waiting; delay."
"ABODE ","n."," Stay or continuance in a place; sojourn."
"ABODE ","n."," Place of continuance, or where one dwells; abiding place; residence; a dwelling; a habitation."
"ABODE ","v. t."," An omen."
"ABODE ","v. t."," To bode; to foreshow."
"ABODE ","v. i."," To be ominous."
"ABODEMENT ","n."," A foreboding; an omen."
"ABODING ","n."," A foreboding."
"ABOLISHED ","imp. & p. p."," of Abolish"
"ABOLISHING ","p. pr. & vb. n."," of Abolish"
"ABOLISH ","v. t."," To do away with wholly; to annul; to make void; -- said of laws, customs, institutions, governments, etc.; as, to abolish slavery, to abolish folly."
"ABOLISH ","v. t."," To put an end to, or destroy, as a physical objects; to wipe out."
"ABOLISHABLE ","a."," Capable of being abolished."
"ABOLISHER ","n."," One who abolishes."
"ABOLISHMENT ","n."," The act of abolishing; abolition; destruction."
"ABOLITION ","n."," The act of abolishing, or the state of being abolished; an annulling; abrogation; utter destruction; as, the abolition of slavery or the slave trade; the abolition of laws, decrees, ordinances, customs, taxes, debts, etc."
"ABOLITIONISM ","n."," The principles or measures of abolitionists."
"ABOLITIONIST ","n."," A person who favors the abolition of any institution, especially negro slavery."
"ABOLITIONIZE ","v. t."," To imbue with the principles of abolitionism."
"ABOMA ","n."," A large South American serpent (Boa aboma)."
"ABOMASUM ","n."," Alt. of Abomasus"
"ABOMASUS ","n."," The fourth or digestive stomach of a ruminant, which leads from the third stomach omasum. See Ruminantia."
"ABOMINABLE ","a."," Worthy of, or causing, abhorrence, as a thing of evil omen; odious in the utmost degree; very hateful; detestable; loathsome; execrable."
"ABOMINABLE ","a."," Excessive; large; -- used as an intensive."
"ABOMINABLENESS ","n."," The quality or state of being abominable; odiousness."
"ABOMINABLY ","adv."," In an abominable manner; very odiously; detestably."
"ABOMINATED ","imp. & p. p."," of Abominate"
"ABOMINATING ","p. pr. & vb. n."," of Abominate"
"ABOMINATE ","v. t."," To turn from as ill-omened; to hate in the highest degree, as if with religious dread; loathe; as, to abominate all impiety."
"ABOMINATION ","n."," The feeling of extreme disgust and hatred; abhorrence; detestation; loathing; as, he holds tobacco in abomination."
"ABOMINATION ","n."," That which is abominable; anything hateful, wicked, or shamefully vile; an object or state that excites disgust and hatred; a hateful or shameful vice; pollution."
"ABOMINATION ","n."," A cause of pollution or wickedness."
"ABOON ","prep."," and adv. Above."
"ABORAL ","a."," Situated opposite to, or away from, the mouth."
"ABORD ","n."," Manner of approaching or accosting; address."
"ABORD ","v. t."," To approach; to accost."
"ABORIGINAL ","a."," First; original; indigenous; primitive; native; as, the aboriginal tribes of America."
"ABORIGINAL ","a."," Of or pertaining to aborigines; as, a Hindoo of aboriginal blood."
"ABORIGINAL ","n."," An original inhabitant of any land; one of the aborigines."
"ABORIGINAL ","n."," An animal or a plant native to the region."
"ABORIGINALITY ","n."," The quality of being aboriginal."
"ABORIGINALLY ","adv."," Primarily."
"ABORIGINES ","n. pl."," The earliest known inhabitants of a country; native races."
"ABORIGINES ","n. pl."," The original fauna and flora of a geographical area"
"ABORSEMENT ","n."," Abortment; abortion."
"ABORSIVE ","a."," Abortive."
"ABORT ","v. i."," To miscarry; to bring forth young prematurely."
"ABORT ","v. i."," To become checked in normal development, so as either to remain rudimentary or shrink away wholly; to become sterile."
"ABORT ","n."," An untimely birth."
"ABORT ","n."," An aborted offspring."
"ABORTED ","a."," Brought forth prematurely."
"ABORTED ","a."," Rendered abortive or sterile; undeveloped; checked in normal development at a very early stage; as, spines are aborted branches."
"ABORTICIDE ","n."," The act of destroying a fetus in the womb; feticide."
"ABORTIFACIENT ","v."," Producing miscarriage."
"ABORTIFACIENT ","n."," A drug or an agent that causes premature delivery."
"ABORTION ","n."," The act of giving premature birth; particularly, the expulsion of the human fetus prematurely, or before it is capable of sustaining life; miscarriage."
"ABORTION ","n."," The immature product of an untimely birth."
"ABORTION ","n."," Arrest of development of any organ, so that it remains an imperfect formation or is absorbed."
"ABORTION ","n."," Any fruit or produce that does not come to maturity, or anything which in its progress, before it is matured or perfect; a complete failure; as, his attempt proved an abortion."
"ABORTIONAL ","a."," Pertaining to abortion; miscarrying; abortive."
"ABORTIONIST ","n."," One who procures abortion or miscarriage."
"ABORTIVE ","v."," Produced by abortion; born prematurely; as, an abortive child."
"ABORTIVE ","v."," Made from the skin of a still-born animal; as, abortive vellum."
"ABORTIVE ","v."," Rendering fruitless or ineffectual."
"ABORTIVE ","v."," Coming to naught; failing in its effect; miscarrying; fruitless; unsuccessful; as, an abortive attempt."
"ABORTIVE ","v."," Imperfectly formed or developed; rudimentary; sterile; as, an abortive organ, stamen, ovule, etc."
"ABORTIVE ","v."," Causing abortion; as, abortive medicines."
"ABORTIVE ","v."," Cutting short; as, abortive treatment of typhoid fever."
"ABORTIVE ","n."," That which is born or brought forth prematurely; an abortion."
"ABORTIVE ","n."," A fruitless effort or issue."
"ABORTIVE ","n."," A medicine to which is attributed the property of causing abortion."
"ABORTIVELY ","adv."," In an abortive or untimely manner; immaturely; fruitlessly."
"ABORTIVENESS ","n."," The quality of being abortive."
"ABORTMENT ","n."," Abortion."
"ABOUGHT ",""," imp. & p. p. of Aby."
"ABOUNDED ","imp. & p. p."," of Abound"
"ABOUNDING ","p. pr. & vb. n."," of Abound"
"ABOUND ","v. i."," To be in great plenty; to be very prevalent; to be plentiful."
"ABOUND ","v. i."," To be copiously supplied; -- followed by in or with."
"ABOUT ","prep."," Around; all round; on every side of."
"ABOUT ","prep."," In the immediate neighborhood of; in contiguity or proximity to; near, as to place; by or on (one's person)."
"ABOUT ","prep."," Over or upon different parts of; through or over in various directions; here and there in; to and fro in; throughout."
"ABOUT ","prep."," Near; not far from; -- determining approximately time, size, quantity."
"ABOUT ","prep."," In concern with; engaged in; intent on."
"ABOUT ","prep."," On the point or verge of; going; in act of."
"ABOUT ","prep."," Concerning; with regard to; on account of; touching."
"ABOUT ","adv."," On all sides; around."
"ABOUT ","adv."," In circuit; circularly; by a circuitous way; around the outside; as, a mile about, and a third of a mile across."
"ABOUT ","adv."," Here and there; around; in one place and another."
"ABOUT ","adv."," Nearly; approximately; with close correspondence, in quality, manner, degree, etc.; as, about as cold; about as high; -- also of quantity, number, time."
"ABOUT ","adv."," To a reserved position; half round; in the opposite direction; on the opposite tack; as, to face about; to turn one's self about."
"ABOUT-SLEDGE ","n."," The largest hammer used by smiths."
"ABOVE ","prep."," In or to a higher place; higher than; on or over the upper surface; over; -- opposed to below or beneath."
"ABOVE ","prep."," Figuratively, higher than; superior to in any respect; surpassing; beyond; higher in measure or degree than; as, things above comprehension; above mean actions; conduct above reproach."
"ABOVE ","prep."," Surpassing in number or quantity; more than; as, above a hundred. (Passing into the adverbial sense. See Above, adv., 4.)"
"ABOVE ","adv."," In a higher place; overhead; into or from heaven; as, the clouds above."
"ABOVE ","adv."," Earlier in order; higher in the same page; hence, in a foregoing page."
"ABOVE ","adv."," Higher in rank or power; as, he appealed to the court above."
"ABOVE ","adv."," More than; as, above five hundred were present."
"ABOVEBOARD ","adv."," Above the board or table. Hence: in open sight; without trick, concealment, or deception."
"ABOVE-CITED ","a."," Cited before, in the preceding part of a book or writing."
"ABOVEDECK ","a."," On deck; and hence, like aboveboard, without artifice."
"ABOVE-MENTIONED ","a."," Alt. of Above-named"
"ABOVE-NAMED ","a."," Mentioned or named before; aforesaid."
"ABOVESAID ","a."," Mentioned or recited before."
"ABOX ","adv. & a."," Braced aback."
"ABRACADABRA ","n."," A mystical word or collocation of letters written as in the figure. Worn on an amulet it was supposed to ward off fever. At present the word is used chiefly in jest to denote something without meaning; jargon."
"ABRADANT ","n."," A material used for grinding, as emery, sand, powdered glass, etc."
"ABRADED ","imp. & p. p."," of Abrade"
"ABRADING ","p. pr. & vb. n."," of Abrade"
"ABRADE ","v. t."," To rub or wear off; to waste or wear away by friction; as, to abrade rocks."
"ABRADE ","v. t."," Same as Abraid."
"ABRAHAMIC ","a."," Pertaining to Abraham, the patriarch; as, the Abrachamic covenant."
"ABRAHAMITIC ","a."," Alt. of ical"
"ICAL ","a."," Relating to the patriarch Abraham."
"ABRAHAM-MAN ","n."," Alt. of Abram-man"
"ABRAM-MAN ","n."," One of a set of vagabonds who formerly roamed through England, feigning lunacy for the sake of obtaining alms."
"ABRAID ","v. t. & i."," To awake; to arouse; to stir or start up; also, to shout out."
"ABRANCHIAL ","a."," Abranchiate."
"ABRANCHIATA ","n. pl."," A group of annelids, so called because the species composing it have no special organs of respiration."
"ABRANCHIATE ","a."," Without gills."
"ABRASE ","a."," Rubbed smooth."
"ABRASION ","n."," The act of abrading, wearing, or rubbing off; the wearing away by friction; as, the abrasion of coins."
"ABRASION ","n."," The substance rubbed off."
"ABRASION ","n."," A superficial excoriation, with loss of substance under the form of small shreds."
"ABRASIVE ","a."," Producing abrasion."
"ABRAUM ","n."," Alt. of Abraum salts"
"ABRAUM SALTS ","n."," A red ocher used to darken mahogany and for making chloride of potassium."
"ABRAXAS ","n."," A mystical word used as a charm and engraved on gems among the ancients; also, a gem stone thus engraved."
"ABRAY ","v."," See Abraid."
"ABREAST ","adv."," Side by side, with breasts in a line; as, ''Two men could hardly walk abreast.''"
"ABREAST ","adv."," Side by side; also, opposite; over against; on a line with the vessel's beam; -- with of."
"ABREAST ","adv."," Up to a certain level or line; equally advanced; as, to keep abreast of [or with] the present state of science."
"ABREAST ","adv."," At the same time; simultaneously."
"ABREGGE ","v. t."," See Abridge."
"ABRENOUNCE ","v. t."," To renounce."
"ABRENUNCIATION ","n."," Absolute renunciation or repudiation."
"ABREPTION ","n."," A snatching away."
"ABREUVOIR ","n."," The joint or interstice between stones, to be filled with mortar."
"ABRICOCK ","n."," See Apricot."
"ABRIDGED ","imp. & p. p."," of Abridge"
"ABRIDGING ","p. pr. & vb. n."," of Abridge"
"ABRIDGE ","v. t."," To make shorter; to shorten in duration; to lessen; to diminish; to curtail; as, to abridge labor; to abridge power or rights."
"ABRIDGE ","v. t."," To shorten or contract by using fewer words, yet retaining the sense; to epitomize; to condense; as, to abridge a history or dictionary."
"ABRIDGE ","v. t."," To deprive; to cut off; -- followed by of, and formerly by from; as, to abridge one of his rights."
"ABRIDGER ","n."," One who abridges."
"ABRIDGMENT ","n."," The act of abridging, or the state of being abridged; diminution; lessening; reduction or deprivation; as, an abridgment of pleasures or of expenses."
"ABRIDGMENT ","n."," An epitome or compend, as of a book; a shortened or abridged form; an abbreviation."
"ABRIDGMENT ","n."," That which abridges or cuts short; hence, an entertainment that makes the time pass quickly."
"ABROACH ","v. t."," To set abroach; to let out, as liquor; to broach; to tap."
"ABROACH ","adv."," Broached; in a condition for letting out or yielding liquor, as a cask which is tapped."
"ABROACH ","adv."," Hence: In a state to be diffused or propagated; afoot; astir."
"ABROAD ","adv."," At large; widely; broadly; over a wide space; as, a tree spreads its branches abroad."
"ABROAD ","adv."," Without a certain confine; outside the house; away from one's abode; as, to walk abroad."
"ABROAD ","adv."," Beyond the bounds of a country; in foreign countries; as, we have broils at home and enemies abroad."
"ABROAD ","adv."," Before the public at large; throughout society or the world; here and there; widely."
"ABROGABLE ","a."," Capable of being abrogated."
"ABROGATE ","a."," Abrogated; abolished."
"ABROGATED ","imp. & p. p."," of Abrogate"
"ABROGATING ","p. pr. & vb. n."," of Abrogate"
"ABROGATE ","v. t."," To annul by an authoritative act; to abolish by the authority of the maker or his successor; to repeal; -- applied to the repeal of laws, decrees, ordinances, the abolition of customs, etc."
"ABROGATE ","v. t."," To put an end to; to do away with."
"ABROGATION ","n."," The act of abrogating; repeal by authority."
"ABROGATIVE ","a."," Tending or designed to abrogate; as, an abrogative law."
"ABROGATOR ","n."," One who repeals by authority."
"ABROOD ","adv."," In the act of brooding."
"ABROOK ","v. t."," To brook; to endure."
"ABRUPT ","a."," Broken off; very steep, or craggy, as rocks, precipices, banks; precipitous; steep; as, abrupt places."
"ABRUPT ","a."," Without notice to prepare the mind for the event; sudden; hasty; unceremonious."
"ABRUPT ","a."," Having sudden transitions from one subject to another; unconnected."
"ABRUPT ","a."," Suddenly terminating, as if cut off."
"ABRUPT ","n."," An abrupt place."
"ABRUPT ","v. t."," To tear off or asunder."
"ABRUPTION ","n."," A sudden breaking off; a violent separation of bodies."
"ABRUPTLY ","adv."," In an abrupt manner; without giving notice, or without the usual forms; suddenly."
"ABRUPTLY ","adv."," Precipitously."
"ABRUPTNESS ","n."," The state of being abrupt or broken; craggedness; ruggedness; steepness."
"ABRUPTNESS ","n."," Suddenness; unceremonious haste or vehemence; as, abruptness of style or manner."
"ABSCESSES ","pl. "," of Abscess"
"ABSCESS ","n."," A collection of pus or purulent matter in any tissue or organ of the body, the result of a morbid process."
"ABSCESSION ","n."," A separating; removal; also, an abscess."
"ABSCIND ","v. t."," To cut off."
"ABSCISION ","n."," See Abscission."
"ABSCISSES ","pl. "," of Absciss"
"ABSCISS ","n."," See Abscissa."
"ABSCISSAS ","pl. "," of Abscissa"
"ABSCISSAE ","pl. "," of Abscissa"
"ABSCISSA ","n."," One of the elements of reference by which a point, as of a curve, is referred to a system of fixed rectilineal coordinate axes."
"ABSCISSION ","n."," The act or process of cutting off."
"ABSCISSION ","n."," The state of being cut off."
"ABSCISSION ","n."," A figure of speech employed when a speaker having begun to say a thing stops abruptly: thus, ''He is a man of so much honor and candor, and of such generosity -- but I need say no more.''"
"ABSCONDED ","imp. & p. p."," of Abscond"
"ABSCONDING ","p. pr. & vb. n."," of Abscond"
"ABSCOND ","v. i."," To hide, withdraw, or be concealed."
"ABSCOND ","v. i."," To depart clandestinely; to steal off and secrete one's self; -- used especially of persons who withdraw to avoid a legal process; as, an absconding debtor."
"ABSCOND ","v. t."," To hide; to conceal."
"ABSCONDENCE ","n."," Fugitive concealment; secret retirement; hiding."
"ABSCONDER ","n."," One who absconds."
"ABSENCE ","n."," A state of being absent or withdrawn from a place or from companionship; -- opposed to presence."
"ABSENCE ","n."," Want; destitution; withdrawal."
"ABSENCE ","n."," Inattention to things present; abstraction (of mind); as, absence of mind."
"ABSENT ","a."," Being away from a place; withdrawn from a place; not present."
"ABSENT ","a."," Not existing; lacking; as, the part was rudimental or absent."
"ABSENT ","a."," Inattentive to what is passing; absent-minded; preoccupied; as, an absent air."
"ABSENTED ","imp. & p. p."," of Absent"
"ABSENTING ","p. pr. & vb. n."," of Absent"
"ABSENT ","v. t."," To take or withdraw (one's self) to such a distance as to prevent intercourse; -- used with the reflexive pronoun."
"ABSENT ","v. t."," To withhold from being present."
"ABSENTANEOUS ","a."," Pertaining to absence."
"ABSENTATION ","n."," The act of absenting one's self."
"ABSENTEE ","n."," One who absents himself from his country, office, post, or duty; especially, a landholder who lives in another country or district than that where his estate is situated; as, an Irish absentee."
"ABSENTEEISM ","n."," The state or practice of an absentee; esp. the practice of absenting one's self from the country or district where one's estate is situated."
"ABSENTER ","n."," One who absents one's self."
"ABSENTLY ","adv."," In an absent or abstracted manner."
"ABSENTMENT ","n."," The state of being absent; withdrawal."
"ABSENT-MINDED ","a."," Absent in mind; abstracted; preoccupied."
"ABSENTNESS ","n."," The quality of being absent-minded."
"ABSEY-BOOK ","n."," An A-B-C book; a primer."
"ABSINTHATE ","n."," A combination of absinthic acid with a base or positive radical."
"ABSINTH ","n."," Alt. of Absinthe"
"ABSINTHE ","n."," The plant absinthium or common wormwood."
"ABSINTHE ","n."," A strong spirituous liqueur made from wormwood and brandy or alcohol."
"ABSINTHIAL ","a."," Of or pertaining to wormwood; absinthian."
"ABSINTHIAN ","n."," Of the nature of wormwood."
"ABSINTHIATE ","v. t."," To impregnate with wormwood."
"ABSINTHIATED ","a."," Impregnated with wormwood; as, absinthiated wine."
"ABSINTHIC ","a."," Relating to the common wormwood or to an acid obtained from it."
"ABSINTHIN ","n."," The bitter principle of wormwood (Artemisia absinthium)."
"ABSINTHISM ","n."," The condition of being poisoned by the excessive use of absinth."
"ABSINTHIUM ","n."," The common wormwood (Artemisia absinthium), an intensely bitter plant, used as a tonic and for making the oil of wormwood."
"ABSIS ","n."," See Apsis."
"ABSIST ","v. i."," To stand apart from; top leave off; to desist."
"ABSISTENCE ","n."," A standing aloof."
"ABSOLUTE ","a."," Loosed from any limitation or condition; uncontrolled; unrestricted; unconditional; as, absolute authority, monarchy, sovereignty, an absolute promise or command; absolute power; an absolute monarch."
"ABSOLUTE ","a."," Complete in itself; perfect; consummate; faultless; as, absolute perfection; absolute beauty."
"ABSOLUTE ","a."," Viewed apart from modifying influences or without comparison with other objects; actual; real; -- opposed to relative and comparative; as, absolute motion; absolute time or space."
"ABSOLUTE ","a."," Loosed from, or unconnected by, dependence on any other being; self-existent; self-sufficing."
"ABSOLUTE ","a."," Capable of being thought or conceived by itself alone; unconditioned; non-relative."
"ABSOLUTE ","a."," Positive; clear; certain; not doubtful."
"ABSOLUTE ","a."," Authoritative; peremptory."
"ABSOLUTE ","a."," Pure; unmixed; as, absolute alcohol."
"ABSOLUTE ","a."," Not immediately dependent on the other parts of the sentence in government; as, the case absolute. See Ablative absolute, under Ablative."
"ABSOLUTE ","n."," In a plane, the two imaginary circular points at infinity; in space of three dimensions, the imaginary circle at infinity."
"ABSOLUTELY ","adv."," In an absolute, independent, or unconditional manner; wholly; positively."
"ABSOLUTENESS ","n."," The quality of being absolute; independence of everything extraneous; unlimitedness; absolute power; independent reality; positiveness."
"ABSOLUTION ","n."," An absolving, or setting free from guilt, sin, or penalty; forgiveness of an offense."
"ABSOLUTION ","n."," An acquittal, or sentence of a judge declaring and accused person innocent."
"ABSOLUTION ","n."," The exercise of priestly jurisdiction in the sacrament of penance, by which Catholics believe the sins of the truly penitent are forgiven."
"ABSOLUTION ","n."," An absolving from ecclesiastical penalties, -- for example, excommunication."
"ABSOLUTION ","n."," The form of words by which a penitent is absolved."
"ABSOLUTION ","n."," Delivery, in speech."
"ABSOLUTISM ","n."," The state of being absolute; the system or doctrine of the absolute; the principles or practice of absolute or arbitrary government; despotism."
"ABSOLUTISM ","n."," Doctrine of absolute decrees."
"ABSOLUTIST ","n."," One who is in favor of an absolute or autocratic government."
"ABSOLUTIST ","n."," One who believes that it is possible to realize a cognition or concept of the absolute."
"ABSOLUTIST ","a."," Of or pertaining to absolutism; arbitrary; despotic; as, absolutist principles."
"ABSOLUTISTIC ","a."," Pertaining to absolutism; absolutist."
"ABSOLUTORY ","a."," Serving to absolve; absolving."
"ABSOLVABLE ","a."," That may be absolved."
"ABSOLVATORY ","a."," Conferring absolution; absolutory."
"ABSOLVED ","imp. & p. p."," of Absolve"
"ABSOLVING ","p. pr. & vb. n."," of Absolve"
"ABSOLVE ","v. t."," To set free, or release, as from some obligation, debt, or responsibility, or from the consequences of guilt or such ties as it would be sin or guilt to violate; to pronounce free; as, to absolve a subject from his allegiance; to absolve an offender, which amounts to an acquittal and remission of his punishment."
"ABSOLVE ","v. t."," To free from a penalty; to pardon; to remit (a sin); -- said of the sin or guilt."
"ABSOLVE ","v. t."," To finish; to accomplish."
"ABSOLVE ","v. t."," To resolve or explain."
"ABSOLVENT ","a."," Absolving."
"ABSOLVENT ","n."," An absolver."
"ABSOLVER ","n."," One who absolves."
"ABSONANT ","a."," Discordant; contrary; -- opposed to consonant."
"ABSONOUS ","a."," Discordant; inharmonious; incongruous."
"ABSORBED ","imp. & p. p."," of Absorb"
"ABSORBING ","p. pr. & vb. n."," of Absorb"
"ABSORB ","v. t."," To swallow up; to engulf; to overwhelm; to cause to disappear as if by swallowing up; to use up; to include."
"ABSORB ","v. t."," To suck up; to drink in; to imbibe; as a sponge or as the lacteals of the body."
"ABSORB ","v. t."," To engross or engage wholly; to occupy fully; as, absorbed in study or the pursuit of wealth."
"ABSORB ","v. t."," To take up by cohesive, chemical, or any molecular action, as when charcoal absorbs gases. So heat, light, and electricity are absorbed or taken up in the substances into which they pass."
"ABSORBABILITY ","n."," The state or quality of being absorbable."
"ABSORBABLE ","a."," Capable of being absorbed or swallowed up."
"ABSORBEDLY ","adv."," In a manner as if wholly engrossed or engaged."
"ABSORBENCY ","n."," Absorptiveness."
"ABSORBENT ","a."," Absorbing; swallowing; absorptive."
"ABSORBENT ","n."," Anything which absorbs."
"ABSORBENT ","n."," Any substance which absorbs and neutralizes acid fluid in the stomach and bowels, as magnesia, chalk, etc.; also a substance e. g., iodine) which acts on the absorbent vessels so as to reduce enlarged and indurated parts."
"ABSORBENT ","n."," The vessels by which the processes of absorption are carried on, as the lymphatics in animals, the extremities of the roots in plants."
"ABSORBER ","n."," One who, or that which, absorbs."
"ABSORBING ","a."," Swallowing, engrossing; as, an absorbing pursuit."
"ABSORBITION ","n."," Absorption."
"ABSORPT ","a."," Absorbed."
"ABSORPTION ","n."," The act or process of absorbing or sucking in anything, or of being absorbed and made to disappear; as, the absorption of bodies in a whirlpool, the absorption of a smaller tribe into a larger."
"ABSORPTION ","n."," An imbibing or reception by molecular or chemical action; as, the absorption of light, heat, electricity, etc."
"ABSORPTION ","n."," In living organisms, the process by which the materials of growth and nutrition are absorbed and conveyed to the tissues and organs."
"ABSORPTION ","n."," Entire engrossment or occupation of the mind; as, absorption in some employment."
"ABSORPTIVE ","a."," Having power, capacity, or tendency to absorb or imbibe."
"ABSORPTIVENESS ","n."," The quality of being absorptive; absorptive power."
"ABSORPTIVITY ","n."," Absorptiveness."
"ABSQUATULATE ","v. i."," To take one's self off; to decamp."
"ABSQUE HOC ",""," The technical words of denial used in traversing what has been alleged, and is repeated."
"ABSTAINED ","imp. & p. p."," of Abstain"
"ABSTAINING ","p. pr. & vb. n."," of Abstain"
"ABSTAIN ","v. i."," To hold one's self aloof; to forbear or refrain voluntarily, and especially from an indulgence of the passions or appetites; -- with from."
"ABSTAIN ","v. t."," To hinder; to withhold."
"ABSTAINER ","n."," One who abstains; esp., one who abstains from the use of intoxicating liquors."
"ABSTEMIOUS ","a."," Abstaining from wine."
"ABSTEMIOUS ","a."," Sparing in diet; refraining from a free use of food and strong drinks; temperate; abstinent; sparing in the indulgence of the appetite or passions."
"ABSTEMIOUS ","a."," Sparingly used; used with temperance or moderation; as, an abstemious diet."
"ABSTEMIOUS ","a."," Marked by, or spent in, abstinence; as, an abstemious life."
"ABSTEMIOUS ","a."," Promotive of abstemiousness."
"ABSTEMIOUSNESS ","n."," The quality of being abstemious, temperate, or sparing in the use of food and strong drinks. It expresses a greater degree of abstinence than temperance."
"ABSTENTION ","a."," The act of abstaining; a holding aloof."
"ABSTENTIOUS ","a."," Characterized by abstinence; self-restraining."
"ABSTERGE ","v. t."," To make clean by wiping; to wipe away; to cleanse; hence, to purge."
"ABSTERGENT ","a."," Serving to cleanse, detergent."
"ABSTERGENT ","n."," A substance used in cleansing; a detergent; as, soap is an abstergent."
"ABSTERSE ","v. t."," To absterge; to cleanse; to purge away."
"ABSTERSION ","n."," Act of wiping clean; a cleansing; a purging."
"ABSTERSIVE ","a."," Cleansing; purging."
"ABSTERSIVE ","n."," Something cleansing."
"ABSTERSIVENESS ","n."," The quality of being abstersive."
"ABSTINENCE ","n."," The act or practice of abstaining; voluntary forbearance of any action, especially the refraining from an indulgence of appetite, or from customary gratifications of animal or sensual propensities. Specifically, the practice of abstaining from intoxicating beverages, -- called also total abstinence."
"ABSTINENCE ","n."," The practice of self-denial by depriving one's self of certain kinds of food or drink, especially of meat."
"ABSTINENCY ","n."," Abstinence."
"ABSTINENT ","a."," Refraining from indulgence, especially from the indulgence of appetite; abstemious; continent; temperate."
"ABSTINENT ","n."," One who abstains."
"ABSTINENT ","n."," One of a sect who appeared in France and Spain in the 3d century."
"ABSTINENTLY ","adv."," With abstinence."
"ABSTORTED ","a."," Wrested away."
"ABSTRACT ","a."," Withdraw; separate."
"ABSTRACT ","a."," Considered apart from any application to a particular object; separated from matter; existing in the mind only; as, abstract truth, abstract numbers. Hence: ideal; abstruse; difficult."
"ABSTRACT ","a."," Expressing a particular property of an object viewed apart from the other properties which constitute it; -- opposed to concrete; as, honesty is an abstract word."
"ABSTRACT ","a."," Resulting from the mental faculty of abstraction; general as opposed to particular; as, ''reptile'' is an abstract or general name."
"ABSTRACT ","a."," Abstracted; absent in mind."
"ABSTRACTED ","imp. & p. p."," of Abstract"
"ABSTRACTING ","p. pr. & vb. n."," of Abstract"
"ABSTRACT ","a."," To withdraw; to separate; to take away."
"ABSTRACT ","a."," To draw off in respect to interest or attention; as, his was wholly abstracted by other objects."
"ABSTRACT ","a."," To separate, as ideas, by the operation of the mind; to consider by itself; to contemplate separately, as a quality or attribute."
"ABSTRACT ","a."," To epitomize; to abridge."
"ABSTRACT ","a."," To take secretly or dishonestly; to purloin; as, to abstract goods from a parcel, or money from a till."
"ABSTRACT ","a."," To separate, as the more volatile or soluble parts of a substance, by distillation or other chemical processes. In this sense extract is now more generally used."
"ABSTRACT ","v. t."," To perform the process of abstraction."
